name,icao,iata,country,callsign
1Time Airline,RNX,1T,South Africa,NEXTIME
40-Mile Air,MLA,Q5,United States,MILE-AIR
611897 Alberta Limited,THD,,Canada,DONUT
Ansett Australia,AAA,AN,Australia,ANSETT
Abelag Aviation,AAB,W9,Belgium,ABG
Army Air Corps,AAC,,United Kingdom,ARMYAIR
Aigle Azur,AAF,ZI,France,AIGLE AZUR
Aloha Airlines,AAH,AQ,United States,ALOHA
American Airlines,AAL,AA,United States,AMERICAN
Asiana Airlines,AAR,OZ,Republic of Korea,ASIANA
Askari Aviation,AAS,4K,Pakistan,AL-AAS
Astro Air International,AAV,,United States,ASTRO-PHIL
Afriqiyah Airways,AAW,8U,Libya,AFRIQIYAH
Afrinat International Airlines,AFU,Q9,Gambia,
Allegiant Air,AAY,G4,United States,ALLEGIANT
Angus Aviation,AAZ,,Canada,ANGUS
African Business and Transportations,ABB,,Democratic Republic of the Congo,AFRICAN BUSINESS-
Aban Air,ABE,K5,Iran,ABAN
Aerial Oy,ABF,,Finland,SKYWINGS
Abakan-Avia,ABG,,Russia,ABAKAN-AVIA
ABSA - Aerolinhas Brasileiras,TUS,M3,Brazil,ABSA Cargo
Abaet,ABJ,,Brazil,Abaet
Antrak Air,ABV,04,Ghana,ANTRAK
Airborne Express,ABX,GB,United States,ABEX
ABX Air,ABX,GB,United States,ABEX
Astral Aviation,ACP,8V,Kenya,ASTRAL CARGO
Aero Asia International,RSO,E4,Pakistan,AERO ASIA
Air Charters,ACX,,Canada,PARAIR
Air Togo,TGA,YT,Togo,AIR TOGO
Atlas Cargo Lines,ACY,,Morocco,ATLAS CARGOLINES
Ada Air,ADE,ZY,Albania,ADA AIR
ADC Airlines,ADK,Z7,Nigeria,ADCO
Aerodienst GmbH,ADN,,Germany,AERODIENST
Aerodyne,ADY,,United States,AERODYNE
Adria Airways,ADR,JP,Slovenia,ADRIA
Air Europa,AEA,UX,Spain,EUROPA
Air Southwest Ltd.,ASW,,Canada,AIRSOUTHWEST
Aero Benin,AEB,EM,Benin,AEROBEN
Aegean Airlines,AEE,A3,Greece,AEGEAN
Aerofumigaciones Sam,AEG,,Chile,FUMIGACIONES SAM
Air Atlantique,AAG,KI,United Kingdom,ATLANTIC
Air Europe,AEL,PE,Italy,AIR EUROPE
Alaska Central Express,AER,KO,United States,ACE AIR
Astraeus,AEU,5W,United Kingdom,FLYSTAR
Aerosvit Airlines,AEW,VV,Ukraine,AEROSVIT
Air Italy,AEY,I9,Italy,AIR ITALY
Aerial Transit Company,AEZ,,United States,AERIAL TRANZ
American Falcon,AFB,WK,Argentina,AMERICAN FALCON
