locode,name,country_code,latitude,longitude,port_size,max_vessel_size,channel_depth_m,cargo_depth_m,teu_thousands,zone_code,wpi_id,function,status,active
AEABU,Abu al Bukhoosh,AE,25.4833,53.1333,,,,,,,,1-------,RL,1
AEAUH,Abu Dhabi,AE,24.4667,54.3667,,,,,,,,1-345---,AI,1
AEAMU,Abu Musa,AE,25.8667,55.0167,,,,,,,,1-------,RL,1
AEARP,Ahmed Bin Rashid Port,AE,25.5333,55.55,,,,,,,,1-------,RL,1
AEAJM,Ajman,AE,25.42,55.43,Very Small,medium vessels,45.7,49.4,,,48270,1-3-----,RL,1
AEFJR,Al Fujayrah,AE,25.1167,56.3333,,,,,,,,1--4----,AI,1
AEJAZ,Al Jazeera Port,AE,25.7167,55.8,Small,,,49.4,,ME-MID,48269,1-------,RL,1
AEAJP,Al Jeer Port,AE,26.0333,56.05,,,,,,,,1-3-----,RL,1
AERUW,Ar Ruways,AE,24.1167,52.7333,,,,,,,,1-------,RL,1
AEDAS,Das Island,AE,25.15,52.87,Very Small,medium vessels,9.1,,,ME-MID,48277,1-------,RL,1
AEDBP,Dibba,AE,25.6167,56.2667,,,,,,,,1-3-----,RL,1
AEDXB,Dubai,AE,25.25,55.2667,,,,,,,,1-345---,AI,1
AEEND,Esnnad,AE,24.3167,54.45,,,,,,,,1-------,RQ,1
AEFAT,Fateh Terminal,AE,,,,,,,,,,1-------,QQ,1
AEFRP,Free Port,AE,25.25,55.25,Very Small,large vessels,34.7,42.1,,NAE-GUS,9250,1-------,RL,1
AEHZP,Hamriya Free Zone Port,AE,25.3,55.3167,,,,,,,,1-------,RL,1
AEHSN,Hassyan,AE,24.9,54.9,,,,,,,,1-3-----,AA,1
AEHTL,Hulaylah Terminal,AE,25.9833,55.9333,Very Small,medium vessels,12.8,,,ME-MID,48280,1-------,RQ,1
AEJEA,Jebel Ali,AE,,,,,,,,,,1-------,QQ,1
AEQWE,Jebel Ali Free Zone,AE,25.015,55.06,Major,large vessels,23.8,34.7,15536,ME-MID,48276,1-3-----,RL,1
AEJED,Jebel Dhanna,AE,,,,,,,,,,1-------,QQ,1
AEKLB,Kalba,AE,25.0667,56.35,,,,,,,,1-3-----,RL,1
AEKLF,Khor al Fakkan,AE,25.3333,56.35,Large,large vessels,31.1,23.8,,ME-MID,48263,1-------,RL,1
AEMKH,Mina Khalid,AE,25.35,55.3667,,,,,,,,1-3-----,RL,1
AEKHL,Mina Khalifa/Abu Dhabi,AE,24.8333,54.6667,,,,,,,,1-------,RL,1
AEMRP,Mina Rashid Port,AE,25.2667,55.2833,Small,large vessels,31.1,31.1,,ME-MID,48275,1-------,RL,1
AEMSA,Mina Saqr,AE,25.9667,56.0667,Very Small,medium vessels,34.7,34.7,,ME-MID,48264,1-------,RQ,1
AEMZD,Mina Zayed/Abu Dhabi,AE,24.52,54.595,Major,large vessels,27.4,31.1,5421,ME-MID,48278,1-------,RL,1
AERFA,Mirfa,AE,25.4667,53.4833,,,,,,,,1----6--,RQ,1
AEMUB,Mubarek Terminal,AE,,,,,,,,,,1-------,QQ,1
AEMBS,Mubarras Island,AE,24.5833,53.3167,,,,,,,,1-------,RQ,1
AEAMF,Musaffah,AE,24.3833,54.4833,,,,,,,,1-3-----,RL,1
AEPRA,Port Rashid,AE,,,,,,,,,,1-------,RQ,1
AERKP,Rak Khor Port,AE,25.8167,55.95,,,,,,,,1-------,RL,1
AERMC,Rak Maritime City,AE,25.95,56.05,,,,,,,,1-------,RL,1
AERKT,Ras al Khaimah,AE,25.7833,55.95,,,,,,,,1--4----,AI,1
AERWP,Ruwais Port,AE,24.1,52.7167,,,,,,,,1-------,RL,1
AESID,Sadiyat Island,AE,24.5333,54.4,,,,,,,,1-------,RQ,1
AESHJ,Sharjah,AE,25.35,55.3833,,,,,,,,1-34----,AI,1
AEDUJ,The Palm Jumeirah,AE,,,,,,,,,,1-------,RQ,1
AEULR,Umm Al Nar,AE,24.4333,54.5,Very Small,medium vessels,34.7,42.1,,ME-MID,48279,1-------,RQ,1
AEQIW,Umm al Quwain,AE,25.5833,55.5833,Small,medium vessels,38.4,38.4,,ME-MID,48273,1--4----,AI,1
AEYAS,Yas Island,AE,24.3167,52.6,,,,,,,,1-------,RL,1
AEZUR,Zirku Island,AE,24.8833,53.0667,Small,,12.8,,,ME-MID,48267,1-------,RL,1
AFDHD,Dehdadi,AF,36.65,66.9833,,,,,,,,1----6--,RL,1
AFQLT,Qalat,AF,32.1,66.8833,,,,,,,,1-3-----,RL,1
AFRKH,Torkham,AF,34.8833,71.9167,,,,,,,,1-------,RL,1
AGANU,Antigua,AG,,,,,,,,,,1---5---,AI,1
AGBBQ,Barbuda,AG,,,,,,,,,,1-------,AI,1
AGFAM,Falmouth,AG,17.0167,-61.7833,Very Small,medium vessels,56.7,56.7,,,7320,1----6--,RL,1
AGPHM,Parham,AG,17.0833,-61.75,,,,,,,,1----6--,RL,1
AGSJO,Saint John's,AG,17.1167,-61.85,Minor,large vessels,38.4,27.4,,NAE-CAR,11430,1-------,AI,1
AIBLP,Blowing Point,AI,,,,,,,,,,1-------,QQ,1
AIMBB,Meads Bay Beach,AI,18.1667,-63.1333,,,,,,,,1-------,RL,1
AISOM,Sombrero,AI,18.6,-63.4667,,,,,,,,1-------,RQ,1
AIFOR,The Forest,AI,,,,,,,,,,1-------,QQ,1
AIROA,The Road,AI,,,,,,,,,,1-------,QQ,1
AIWLL,Wall Blake,AI,,,,,,,,,,1--4----,RL,1
ALBUT,Butrint,AL,39.75,20.0167,,,,,,,,1-------,RQ,1
ALDRZ,DurrÃ«s,AL,41.32,19.45,Medium,medium vessels,42.1,42.1,,EU-BLA,41670,1-------,RL,1
ALHMR,Himare,AL,40.1333,19.7167,,,,,,,,1-------,RQ,1
ALROM,Romano Port,AL,41.3667,19.4167,,,,,,,,1-3-----,RL,1
ALSAR,SarandÃ«,AL,39.8833,20.0,,,,,,,,1-------,RL,1
ALSHG,ShÃ«ngjin,AL,41.8,19.5667,Very Small,,53.0,49.4,,EU-BLA,41660,1-------,RL,1
ALVOA,VlorÃ«,AL,40.4667,19.4833,Very Small,medium vessels,42.1,42.1,,EU-BLA,41690,1-------,RL,1
AMJER,Jermuk,AM,,,,,,,,,,1----6--,RL,1
AOAZZ,Ambriz,AO,,,,,,,,,,1--4----,AI,1
AOBAB,Baba,AO,-14.8333,12.2333,,,,,,,,1-------,RQ,1
AOBDT,BaÃ­a dos Tigres,AO,-16.6,11.7333,,,,,,,,1-------,RL,1
AOBDD,Barra do Dande,AO,,,,,,,,,,1-------,RL,1
AOBUG,Benguela,AO,,,,,,,,,,1--4----,AI,1
AOCAB,Cabinda,AO,-5.53,12.2,Small,large vessels,53.0,53.0,,,46490,1--4----,AI,1
AOCPO,Capulo,AO,-7.9833,13.1667,,,,,,,,1-------,RQ,1
AOCUI,Cuio,AO,-12.9833,12.9833,,,,,,,,1-------,RQ,1
AODAL,Dalia,AO,-7.6833,11.7833,Very Small,large vessels,5.5,5.5,,AF-SAF,46551,1-------,RQ,1
AODGR,Dombe Grande,AO,,,,,,,,,,1-------,RL,1
AOETN,Essungo Terminal,AO,-6.3333,12.1667,,,,,,,,1-------,RQ,1
AOFBY,Farta Bay,AO,-12.6167,13.2,,,,,,,,1-------,RQ,1
AOFLT,Futila Terminal,AO,-5.45,12.1833,Very Small,medium vessels,45.7,,,AF-WAF,46495,1-------,RQ,1
AOGIM,Gimboa,AO,-7.5333,12.1667,,,,,,,,1-------,RL,1
AOGIR,Girassol Terminal,AO,-7.6333,11.6833,Very Small,large vessels,,,,AF-SAF,46549,1-------,RL,1
AOGPO,Greater Plutonio,AO,-7.8333,12.1167,Very Small,large vessels,5.5,5.5,,AF-SAF,46552,1-------,RL,1
AOKTI,Kiame Terminal,AO,,,,,,,,,,1-------,RQ,1
AOKOT,Kuito Terminal,AO,-5.4333,11.4833,Very Small,large vessels,5.5,,,AF-WAF,46488,1-------,XX,0
AOLAA,Landana (Cacongo),AO,,,,,,,,,,1-------,RL,1
AOLIE,Lieura,AO,,,,,,,,,,1-------,QQ,1
AOLOB,Lobito,AO,-12.33,13.57,Small,large vessels,27.4,38.4,,,46590,1---5---,RL,1
AOLBT,Lombo Terminal,AO,-6.9833,12.35,,,,,,,,1-------,RQ,1
AOLAD,Luanda,AO,-8.8,13.25,Medium,large vessels,31.1,38.4,,AF-SAF,46560,1--45---,AI,1
AOLUC,Lucira,AO,,,,,,,,,,1-3-----,RL,1
AOMSZ,Namibe,AO,-15.2,12.15,Medium,large vessels,20.1,20.1,,AF-SAF,46610,1--4----,AI,1
AONQI,NÃ³qui,AO,-5.85,13.4333,,,,,,,,123-----,RL,1
AONTO,N'Zeto (Ambrizete),AO,-7.2667,12.85,,,,,,,,1-------,RQ,1
AOPAT,Palanca Terminal,AO,-6.95,12.4,Small,large vessels,,,,,46547,1-------,RQ,1
AOPLE,Porto Alexandre (Tombua),AO,,,,,,,,,,1-3-----,RL,1
AOPBN,Porto Amboim,AO,-10.73,13.75,Very Small,,5.5,53.0,,AF-SAF,46570,1-------,AI,1
AOPSA,Porto Saco (Portosalazar),AO,-15.1333,12.1333,,,,,,,,1-------,RQ,1
AORSN,River Sao Nicolau,AO,-14.25,12.3333,,,,,,,,1-------,RQ,1
AOSTL,Sazaire Terminal,AO,-6.0833,12.3833,,,,,,,,1-------,RQ,1
AOSZA,Soyo,AO,-6.12,12.33,Very Small,large vessels,27.4,27.4,,AF-WAF,46545,1--4----,AI,1
AOSOQ,Soyo-Quinfuquena Terminal,AO,,,,,,,,,,1-------,RQ,1
AONDD,Sumbe,AO,-11.2,13.83,Very Small,,5.5,53.0,,,46580,1-34----,AI,1
AOTAK,Takula Terminal,AO,-5.22,11.78,Small,large vessels,,,,,46485,1-------,RQ,1
AQABA,Aboa,AQ,-73.05,-13.4167,,,,,,,,1-------,RL,1
AQARC,Arctowski,AQ,-62.15,-58.4667,,,,,,,,1-------,RL,1
AQART,Artigas,AQ,-62.1833,-58.9,,,,,,,,1-------,RL,1
AQAPT,Arturo Prat,AQ,-62.5,-59.6833,,,,,,,,1-------,RL,1
AQBHN,Bellingshausen,AQ,-62.1833,-58.95,,,,,,,,1-------,RL,1
AQCAS,Casey Station,AQ,-66.2833,110.5167,,,,,,,,1-------,RL,1
AQCFZ,Comandante Ferraz,AQ,-62.0833,-58.3833,,,,,,,,1-------,RL,1
AQDAV,Davis Station,AQ,-68.5667,77.9667,,,,,,,,1-------,RL,1
AQDDU,Dumont d'Urville Station,AQ,-66.65,140.0,,,,,,,,1-------,RL,1
AQESC,Escudero,AQ,-62.2,-58.95,,,,,,,,1-------,RL,1
AQESP,Esperanza,AQ,-63.3833,-56.9833,,,,,,,,1-------,RL,1
AQOHG,General Bernardo O'higgins,AQ,-63.3167,-57.9,,,,,,,,1-------,RL,1
AQGWL,Great Wall,AQ,-62.2167,-58.9667,,,,,,,,1-------,RL,1
