name,latitude,longitude,is_junction
"Aaiun, Western Sahara",27.0936,-13.4486,0
"Aalborg, Denmark",57.0583,9.9333,0
"Aarhus, Denmark",56.1583,10.225,0
"Aasiaat (Egedesminde), Greenland",68.7092,-52.8867,0
"Abadan, Iran",30.33,48.275,0
"Abenra, Denmark",55.0267,9.4306,0
"Aberdeen, Scotland",57.1417,-2.075,0
"Abidjan, Ivory Coast",5.3167,-4.0306,0
"Abraham Bay, Mayaguana Island, Bahamas",22.3167,-73.0556,0
"Abu Dhabi, United Arab Emirates",24.5703,54.3303,0
"Acajutla, El Salvador",13.5833,-89.85,0
"Acapulco, Mexico",16.8417,-99.925,0
"Accra, Ghana",5.5167,-0.2,0
"Ad Damman, Saudi Arabia",26.5167,50.2,0
"Aden, Yemen",12.7944,44.9833,0
"Agadir, Morocco",30.425,-9.6264,0
"Ajaccio, Corsica",41.9278,8.7519,0
"Akita, Japan",39.7583,140.0333,0
"Akureyri, Iceland",65.6833,-18.0667,0
"Al Aqabah, Jordan",29.5208,34.9986,0
"Al Basrah, Iraq",30.525,47.8417,0
"Al Jubayl, Saudi Arabia",27.0167,49.7,0
"Al Latakia, Syria",35.5278,35.7597,0
"Al Manamah, Bahrain",26.2833,50.5417,0
"Albany, Australia",-35.0444,117.9,0
"Albany, New York, U.S.A.",42.6317,-73.755,0
"Albatross Bay, Australia",-12.69,141.5492,0
"Aleksandrovsksakhalinskiy, Russia",50.9,142.1167,0
"Alesund, Norway",62.4683,6.1575,0
"Alexandria, Egypt",31.1781,29.8578,0
"Alexandroupolis, Greece",40.8333,25.8833,0
"Algeciras, Spain",36.125,-5.4417,0
"Algiers, Algeria",36.7806,3.0697,0
"Alicante, Spain",38.3333,0.4836,0
"Almeria, Spain",36.825,-2.4633,0
"Almirante, Panama",9.2867,-82.3922,0
"Altagracia, Venezuela",10.7083,-71.5333,0
"Amagasaki, Japan",34.6833,135.3833,0
"Amapala, Honduras",13.3,-87.6583,0
"Ambon, Indonesia",-3.6917,128.1736,0
"Amlwch, Wales",53.4486,-4.3025,0
"Amsterdam, Netherlands",52.3833,4.9,0
"Amuay, Venezuela",11.7442,-70.2322,0
"Anacortes, Washington, U.S.A.",48.5133,-122.5883,0
"Anan, Japan",33.8767,134.7389,0
"Ancona, Italy",43.6228,13.505,0
"Anecho, Togo",6.2208,1.5931,0
"Ango Ango, Congo",-5.8417,13.4333,0
"Angra Dos Reis, Brazil",-23.0167,-44.3117,0
"Annaba, Algeria",36.9,7.7719,0
"Annapolis, Maryland, U.S.A.",38.9833,-76.4792,0
"Antalya, Turkey",36.8394,30.6333,0
"Antibes, France",43.5917,7.1339,0
"Antilla, Cuba",20.825,-75.75,0
"Antofagasta, Chile",-23.65,70.4222,0
