origin,destination,distance_nm,type
"Aaiun, Western Sahara","Arrecife de Lanzarote, Canary Islands",111.0,port
"Aaiun, Western Sahara","Casablanca, Morocco",506.0,port
"Aaiun, Western Sahara","Dakar, Senegal",793.0,port
"Aaiun, Western Sahara","Monrovia, Liberia",1525.0,port
"Aaiun, Western Sahara","New York, New York, U.S.A.",3065.0,port
"Aaiun, Western Sahara","Porto Grande, Cape Verde Islands",887.0,port
"Aaiun, Western Sahara","Bishop Rock, England",1397.0,junction
"Aaiun, Western Sahara","Cape of Good Hope, South Africa",4436.0,junction
"Aaiun, Western Sahara","Fastnet Rock, Ireland",1465.0,junction
"Aaiun, Western Sahara",Grand Banks South,2003.0,junction
"Aaiun, Western Sahara","Ile d’Ouessant, France",1356.0,junction
"Aaiun, Western Sahara","Inishtrahull, Ireland",1753.0,junction
"Aaiun, Western Sahara","Panama, Panama",3894.0,junction
"Aaiun, Western Sahara","Pentland Firth, Scotland",2006.0,junction
"Aaiun, Western Sahara","Punta Arenas, Chile",5684.0,junction
"Aaiun, Western Sahara",Strait of Gibraltar,667.0,junction
"Aaiun, Western Sahara",Straits of Florida,3712.0,junction
"Aalborg, Denmark","Gdynia, Poland (via Store Baelt)",476.0,port
"Aalborg, Denmark","Gdynia, Poland (via The Sound)",410.0,port
"Aalborg, Denmark","Kobenhavn, Denmark",143.0,port
"Aalborg, Denmark","Lubeck, Germany (via Store Baelt)",244.0,port
"Aalborg, Denmark","Nord-Ostsee-Kanal (East Entrance), Germany",207.0,junction
"Aalborg, Denmark","Skagens Odde, Denmark",87.0,junction
"Aarhus, Denmark","Abenra, Denmark",103.0,port
"Aarhus, Denmark","Kobenhavn, Denmark",108.0,port
"Aarhus, Denmark","Szczecin, Poland",268.0,port
"Aarhus, Denmark","Nord-Ostsee-Kanal (East Entrance), Germany",131.0,junction
"Aarhus, Denmark","Skagens Odde, Denmark",127.0,junction
"Aasiaat (Egedesminde), Greenland","Churchill, Canada",1485.0,port
"Aasiaat (Egedesminde), Greenland","Reykjavik, Iceland",1371.0,port
"Aasiaat (Egedesminde), Greenland","St. John’s, Canada",1294.0,port
"Aasiaat (Egedesminde), Greenland","Pentland Firth, Scotland",1925.0,junction
"Aasiaat (Egedesminde), Greenland",Strait of Gibraltar,2772.0,junction
"Abenra, Denmark","Aarhus, Denmark",114.0,port
"Abenra, Denmark","Helsinki, Finland",666.0,port
"Abenra, Denmark","Kobenhavn, Denmark",196.0,port
"Abenra, Denmark","Lubeck, Germany",138.0,port
"Abenra, Denmark","Lulea, Sweden",914.0,port
"Abenra, Denmark","Riga, Latvia",588.0,port
"Abenra, Denmark","Sankt-Peterburg, Russia",811.0,port
"Abenra, Denmark","Tallinn, Estonia",646.0,port
"Abenra, Denmark","Umea, Sweden",792.0,port
"Abenra, Denmark","Nord-Ostsee-Kanal (East Entrance), Germany",207.0,junction
"Abenra, Denmark","Skagens Odde, Denmark",87.0,junction
"Aberdeen, Scotland","Amsterdam, Netherlands",376.0,port
"Aberdeen, Scotland","Antwerp, Belgium",465.0,port
"Aberdeen, Scotland","Bergen, Norway",309.0,port
"Aberdeen, Scotland","Bodo, Norway",767.0,port
"Aberdeen, Scotland","Bremerhaven, Germany",435.0,port
"Aberdeen, Scotland","Egersund, Norway",277.0,port
"Aberdeen, Scotland","Emden, Germany",401.0,port
"Aberdeen, Scotland","Esbjerg, Denmark",380.0,port
"Aberdeen, Scotland","Hamburg, Germany",481.0,port
"Aberdeen, Scotland","Hammerfest, Norway",1073.0,port
"Aberdeen, Scotland","Hornmelvik, Norway",586.0,port
"Aberdeen, Scotland","Kristiansand, Norway",340.0,port
"Aberdeen, Scotland","Kristiansund, Norway",498.0,port
"Aberdeen, Scotland","Le Havre, France",530.0,port
"Aberdeen, Scotland","London, England",431.0,port
"Aberdeen, Scotland","Murmansk, Russia",1363.0,port
"Aberdeen, Scotland","Oostende, Belgium",415.0,port
"Aberdeen, Scotland","Oslo, Norway",490.0,port
"Aberdeen, Scotland","Plymouth, England",642.0,port
"Aberdeen, Scotland","Portland, England",564.0,port
"Aberdeen, Scotland","Portsmouth, England",514.0,port
"Aberdeen, Scotland","Rotterdam, Netherlands",391.0,port
